노선명,역사명,역코드
수도권 2호선,까치산,264
수도권 5호선,까치산,518
수도권 7호선,까치울,751
수도권 7호선,부천종합운동장,752
수도권 7호선,춘의,753
수도권 경춘선,춘천,1830
수도권 7호선,신중동,754
수도권 7호선,부천시청,755
수인.분당선,상갈,1538
수도권 4호선,상계,410
수도권 7호선,상도,739
수도권 7호선,상동,756
수도권 4호선,상록수,448
수도권 7호선,상봉,720
경의중앙선,상봉,1390
수도권 경춘선,상봉,1810
수도권 6호선,상수,623
수도권 2호선,상왕십리,207
수도권 6호선,상월곡,642
수도권 5호선,상일동,553
수도권 경춘선,상천,1823
수도권 신분당선,상현,1920
수도권 7호선,삼산체육관,757
수도권 7호선,굴포천,758
수도권 7호선,부평구청,759
수도권 7호선,산곡,760
수도권 4호선,산본,444
수도권 8호선,산성,821
수도권 7호선,석남(거북시장),761
신림선,서울대벤처타운,11720
수도권 2호선,서울대입구,228
수인.분당선,서울숲,1511
수도권 1호선,서울역,133
수도권 4호선,서울역,426
경의중앙선,서울역,1610
수도권 공항철도,서울역,4001
신림선,서울지방병무청,11713
수도권 5호선,공덕,529
수도권 6호선,공덕,626
경의중앙선,공덕,1607
수도권 공항철도,공덕,4002
수도권 7호선,공릉,716
수도권 9호선,공항시장,903
수도권 공항철도,공항화물청사,4009
수도권 2호선,홍대입구,239
경의중앙선,홍대입구,1609
수도권 공항철도,홍대입구,4003
수도권 6호선,디지털미디어시티,618
경의중앙선,디지털미디어시티,1613
수도권 공항철도,디지털미디어시티,4004
수도권 9호선,마곡나루,905
수도권 공항철도,마곡나루,4020
수도권 5호선,김포공항,512
수도권 9호선,김포공항,902
수도권 공항철도,김포공항,4005
수도권 공항철도,계양,4006
수도권 공항철도,검암,4007
수도권 공항철도,청라국제도시,4011
수도권 1호선,영등포,139
수도권 2호선,영등포구청,236
수도권 5호선,영등포구청,523
수도권 5호선,영등포시장,524
수도권 공항철도,영종,4012
수인.분당선,영통,1540
경의중앙선,운길산,1307
수도권 공항철도,운서,4008
경의중앙선,운정,1624
경의중앙선,운천,1630
수도권 공항철도,인천공항1터미널,4010
수도권 공항철도,인천공항2터미널,4013
우이신설경전철,북한산우이,11321
우이신설경전철,솔밭공원,11322
우이신설경전철,4.19민주묘지,11323
우이신설경전철,가오리,11324
우이신설경전철,화계,11325
수도권 5호선,화곡,517
수도권 6호선,화랑대,646
수도권 1호선,화서,183
경의중앙선,화전,1615
수도권 3호선,화정,316
수도권 4호선,삼각지,428
수도권 6호선,삼각지,628
수도권 2호선,삼성,219
수도권 9호선,삼성중앙,928
수도권 3호선,삼송,318
우이신설경전철,삼양,11326
우이신설경전철,삼양사거리,11327
수도권 9호선,삼전,931
우이신설경전철,솔샘,11328
우이신설경전철,북한산보국문,11329
우이신설경전철,정릉,11330
수도권 3호선,정발산,312
수도권 4호선,정부과천청사,439
수도권 4호선,정왕,455
수인.분당선,정왕,11120
수인.분당선,정자,1530
수도권 신분당선,정자,1915
수도권 4호선,성신여대입구,418
우이신설경전철,성신여대입구,11331
수도권 7호선,보라매,742
신림선,보라매,11714
신림선,보라매공원,11715
신림선,보라매병원,11716
수도권 6호선,보문,638
우이신설경전철,보문,11332
수도권 1호선,보산,102
수인.분당선,보정,1533
수도권 1호선,신설동,127
수도권 2호선,신설동,253
우이신설경전철,신설동,11333
수인.분당선,신갈,1536
수도권 5호선,신금호,538
수도권 1호선,신길,138
수도권 5호선,신길,525
수도권 4호선,신길온천,454
수인.분당선,신길온천,11119
수도권 6호선,신내,648
수도권 경춘선,신내,1812
수도권 9호선,신논현,925
수도권 신분당선,신논현,1909
수도권 2호선,신답,252
수도권 2호선,신당,206
수도권 6호선,신당,635
수도권 2호선,신대방,231
수도권 7호선,신대방삼거리,741
수도권 1호선,신도림,140
수도권 2호선,신도림,234
수도권 2호선,신림,230
신림선,신림,11718
수도권 9호선,신목동,911
수도권 9호선,신반포,922
수도권 9호선,신방화,904
수도권 3호선,신사,337
수도권 신분당선,신사,1907
수도권 4호선,신용산,429
경의중앙선,신원,1305
수도권 1호선,신이문,122
수도권 5호선,신정,519
수도권 2호선,신정네거리,263
수도권 1호선,신창(순천향대),1416
수도권 2호선,신촌,240
경의중앙선,신촌,1611
수인.분당선,신포,11133
수도권 7호선,신풍,743
수도권 8호선,신흥,824
수도권 7호선,논현,732
수도권 신분당선,논현,1908
수도권 2호선,강남,222
수도권 신분당선,강남,1910
수도권 7호선,강남구청,730
수인.분당선,강남구청,1513
수도권 5호선,강동,548
수도권 8호선,강동구청,812
경의중앙선,강매,1635
수도권 2호선,강변,214
수도권 5호선,강일,554
수도권 경춘선,강촌,1827
수도권 3호선,양재,342
수도권 신분당선,양재,1911
수도권 신분당선,양재시민의숲,1912
수도권 신분당선,청계산입구,1913
수도권 신분당선,판교,1914
수인.분당선,미금,1531
수도권 신분당선,미금,1916
수도권 5호선,미사,555
수도권 4호선,미아,415
수도권 4호선,미아사거리,416
수도권 1호선,동대문,128
수도권 4호선,동대문,421
수도권 2호선,동대문역사문화공원,205
수도권 4호선,동대문역사문화공원,422
수도권 5호선,동대문역사문화공원,536
수도권 3호선,동대입구,332
수도권 1호선,동두천,101
수도권 1호선,동두천중앙,103
수도권 1호선,동묘앞,199
수도권 6호선,동묘앞,636
수도권 1호선,동암,154
수도권 1호선,동인천,160
수도권 4호선,동작,431
수도권 9호선,동작,920
수도권 신분당선,동천,1917
수도권 신분당선,수지구청,1918
수도권 1호선,성균관대,182
수도권 신분당선,성복,1919
수도권 2호선,성수,211
수도권 1호선,성환,1405
수도권 신분당선,광교중앙(아주대),1921
수도권 신분당선,광교(경기대),1922
수도권 9호선,샛강,916
신림선,샛강,11711
수도권 3호선,대곡,315
경의중앙선,대곡,1618
수도권 4호선,대공원,437
수도권 2호선,대림,233
수도권 7호선,대림,744
수인.분당선,대모산입구,1520
수도권 1호선,대방,137
신림선,대방,11712
수도권 경춘선,대성리,1821
수도권 4호선,대야미,446
수도권 3호선,대청,347
수도권 3호선,대치,345
수도권 3호선,대화,310
수도권 6호선,대흥,625
수도권 4호선,당고개,409
신림선,당곡,11717
수도권 2호선,당산,237
수도권 9호선,당산,913
수도권 1호선,당정,1181
경의중앙선,서강대,1608
수도권 5호선,서대문,532
수도권 1호선,서동탄,1187
경의중앙선,서빙고,197
신림선,서원,11719
수도권 1호선,서정리,1402
수도권 2호선,서초,224
수인.분당선,서현,1528
신림선,관악산(서울대),11721
수도권 4호선,별내별가람,408
수도권 3호선,오금,352
수도권 5호선,오금,572
수도권 4호선,오남,406
수도권 1호선,오류동,144
수인.분당선,오리,1532
수도권 5호선,오목교,521
수인.분당선,오목천,11110
경의중앙선,오빈,1394
수도권 1호선,오산,189
수도권 1호선,오산대,188
수도권 4호선,오이도,456
수인.분당선,오이도,11121
수도권 1호선,진위,190
수도권 4호선,진접,405
수도권 1호선,청량리,125
경의중앙선,청량리,191
수인.분당선,청량리,1509
수도권 경춘선,청량리,1806
수도권 1호선,제기동,126
수도권 1호선,종로5가,129
수도권 1호선,종로3가,130
수도권 3호선,종로3가,329
수도권 5호선,종로3가,534
수도권 1호선,종각,131
수도권 2호선,종합운동장,218
수도권 9호선,종합운동장,930
수도권 1호선,시청,132
수도권 2호선,시청,201
수도권 2호선,을지로입구,202
수도권 2호선,을지로3가,203
수도권 3호선,을지로3가,330
수도권 2호선,을지로4가,204
수도권 5호선,을지로4가,535
경의중앙선,왕십리,192
수도권 2호선,왕십리,208
수도권 5호선,왕십리,540
수인.분당선,왕십리,1510
수도권 2호선,한양대,209
수도권 2호선,뚝섬,210
수도권 7호선,뚝섬유원지,728
수도권 2호선,건대입구,212
수도권 7호선,건대입구,727
수도권 2호선,구의,213
수도권 2호선,잠실나루,215
수도권 2호선,잠실,216
수도권 8호선,잠실,814
수도권 2호선,잠실새내,217
수도권 2호선,선릉,220
수인.분당선,선릉,1515
수도권 4호선,선바위,435
수도권 9호선,선유도,912
수도권 9호선,선정릉,927
수인.분당선,선정릉,1514
수도권 1호선,역곡,146
수도권 2호선,역삼,221
수도권 6호선,역촌,611
수도권 2호선,교대,223
수도권 3호선,교대,340
수도권 2호선,방배,225
수도권 5호선,방이,571
수도권 1호선,방학,116
수도권 5호선,방화,510
수도권 7호선,사가정,722
수도권 2호선,사당,226
수도권 4호선,사당,433
수도권 경춘선,사릉,1816
수인.분당선,사리,11113
수도권 9호선,사평,924
수도권 2호선,낙성대,227
수도권 1호선,봉명,1409
수도권 9호선,봉은사,929
수도권 2호선,봉천,229
수도권 6호선,봉화산(서울의료원),647
수도권 2호선,구로디지털단지,232
수도권 2호선,문래,235
경의중앙선,문산,1629
수도권 8호선,문정,818
수도권 2호선,합정,238
수도권 6호선,합정,622
수도권 2호선,이대,241
수인.분당선,이매,1527
수도권 7호선,이수,736
경의중앙선,이촌,198
수도권 4호선,이촌,430
수도권 6호선,이태원,630
수도권 1호선,아산,1411
경의중앙선,아신,1303
수도권 5호선,아차산,545
수도권 2호선,아현,242
수도권 2호선,충정로,243
수도권 5호선,충정로,531
수도권 2호선,용답,251
수도권 2호선,용두,254
